,re,ta,adjusted_ni,cfca,fcf,gpm,npm,sg,ar_sales,ap_sales,in_sales,de,new_inv,rr,sale_path,md,pi,id,ev
A,269.67 ,227.19 ,26.12 ,4.29 ,40.50 ,0.52 ,0.10 ,0.07 ,0.17 ,0.17 ,0.45 ,0.02 ,28.29 ,1.08 ,1,2,0,0,112.16 
B,729.37 ,644.76 ,59.88 ,40.98 ,57.41 ,0.54 ,0.07 ,0.07 ,0.02 ,0.08 ,0.46 ,0.48 ,32.13 ,0.54 ,2,2,0,1,638.89 
C,1072.32 ,618.41 ,-41.80 ,38.57 ,-20.76 ,0.23 ,(0.04),(0.03),0.12 ,0.14 ,0.30 ,1.92 ,(35.97),0.86 ,1,2,0,1,152.80 
D,670.37 ,402.07 ,15.31 ,45.87 ,35.88 ,0.53 ,0.02 ,0.08 ,0.01 ,0.09 ,0.30 ,0.07 ,(0.92),(0.06),0,0,2,1,328.70 
E,1231.68 ,685.74 ,90.71 ,23.70 ,76.99 ,0.31 ,0.07 ,0.04 ,0.14 ,0.07 ,0.17 ,0.02 ,18.18 ,0.20 ,1,1,2,1,658.75 
F,1193.05 ,789.61 ,-57.19 ,-25.26 ,-91.24 ,0.37 ,(0.01),0.25 ,0.01 ,0.11 ,0.47 ,0.19 ,161.92 ,(2.83),0,0,2,1,2814.19 
G,98.57 ,110.72 ,32.65 ,5.49 ,6.87 ,0.13 ,0.31 ,(0.06),0.10 ,0.10 ,0.41 ,0.00 ,9.97 ,0.31 ,2,2,0,0,29.64 
H,1402.90 ,1325.50 ,115.56 ,186.37 ,-267.45 ,0.51 ,0.08 ,(0.01),0.12 ,0.14 ,0.14 ,16.89 ,27.05 ,0.23 ,2,1,0,1,2350.65 
I,4042.87 ,2187.67 ,256.74 ,439.01 ,406.65 ,0.39 ,0.06 ,0.09 ,0.02 ,0.11 ,0.26 ,0.00 ,130.27 ,0.51 ,1,0,2,1,3858.55 
J,148.22 ,85.46 ,21.65 ,14.50 ,14.57 ,0.58 ,0.15 ,0.11 ,0.33 ,0.18 ,0.54 ,0.00 ,9.14 ,0.42 ,1,0,0,0,0.00 